"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,10332737,25721,10,2019,"I",11-OCT-19,"Y","X","C","2019_10_MN0110700_NIBRS",58890807,0
2019,10685793,25721,11,2019,"I",13-NOV-19,"Y","X","C","2019_11_MN0110700_NIBRS",60851969,0
2019,10926595,25721,12,2019,"I",28-DEC-19,"Y","X","C","2019_12_MN0110700_NIBRS",62511012,0
2019,9208644,28914,4,2019,"I",26-AUG-19,"Y","X","C","2019_04_MN0080400_NIBRS",69177431,0
2019,11781463,28914,5,2019,"Z",16-MAR-20,"Y","X","C","2019_05_MN0080400_NIBRS",69159304,0
2019,11786574,28914,6,2019,"Z",16-MAR-20,"Y","X","C","2019_06_MN0080400_NIBRS",69177293,0
2019,11781511,28914,7,2019,"Z",16-MAR-20,"Y","X","C","2019_07_MN0080400_NIBRS",69159417,0
2019,9275049,28914,8,2019,"Z",04-SEP-19,"Y","X","C","2019_08_MN0080400_NIBRS",51817427,0
2019,10284226,28914,9,2019,"Z",01-OCT-19,"Y","X","C","2019_09_MN0080400_NIBRS",57266075,0
2019,10649067,28914,10,2019,"Z",12-NOV-19,"Y","X","C","2019_10_MN0080400_NIBRS",59691639,0
2019,10781807,28914,11,2019,"Z",03-DEC-19,"Y","X","C","2019_11_MN0080400_NIBRS",60990776,0
2019,10948099,28914,12,2019,"I",03-JAN-20,"Y","X","C","2019_12_MN0080400_NIBRS",62723566,0
2019,9128588,28494,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0320300_NIBRS",49502225,0
2019,9128589,28494,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0320300_NIBRS",49498667,0
2019,9128590,28494,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0320300_NIBRS",49502229,0
2019,9207544,28494,6,2019,"I",26-AUG-19,"Y","X","C","2019_06_MN0320300_NIBRS",51699871,0
2019,9222565,28494,7,2019,"I",27-AUG-19,"Y","X","C","2019_07_MN0320300_NIBRS",51102345,0
2019,11785910,28494,10,2019,"Z",16-MAR-20,"Y","X","C","2019_10_MN0320300_NIBRS",69176580,0
2019,10957986,28494,12,2019,"I",08-JAN-20,"Y","X","C","2019_12_MN0320300_NIBRS",62888258,0
2019,9192894,25740,2,2019,"Z",23-AUG-19,"Y","X","C","2019_02_MN0420300_NIBRS",59623043,0
2019,9129674,25740,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0420300_NIBRS",49497988,0
2019,9129675,25740,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0420300_NIBRS",49491452,0
2019,9128579,25740,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0420300_NIBRS",49497995,0
2019,9128490,25740,6,2019,"I",18-JUL-19,"Y","F","C","2019_06_MN0420300_NIBRS",49492936,0
2019,9228767,25740,7,2019,"I",28-AUG-19,"Y","X","C","2019_07_MN0420300_NIBRS",51195523,0
2019,9227371,25740,8,2019,"I",28-AUG-19,"Y","X","C","2019_08_MN0420300_NIBRS",58907862,0
2019,10293577,25740,9,2019,"I",04-OCT-19,"Y","X","C","2019_09_MN0420300_NIBRS",57316639,0
2019,10294711,25740,10,2019,"I",05-OCT-19,"Y","X","C","2019_10_MN0420300_NIBRS",57346875,0
2019,10643152,25740,11,2019,"I",08-NOV-19,"Y","X","C","2019_11_MN0420300_NIBRS",59908935,0
2019,10894044,25740,12,2019,"I",18-DEC-19,"Y","X","C","2019_12_MN0420300_NIBRS",62339732,0
2019,8149654,27087,1,2019,"U",,"Y","G","C","2019_01_MN0240200_NIBRS",,0
2019,8157316,27087,2,2019,"U",,"Y","G","C","2019_02_MN0240200_NIBRS",,0
2019,8164978,27087,3,2019,"U",,"Y","G","C","2019_03_MN0240200_NIBRS",,0
2019,8172640,27087,4,2019,"U",,"Y","G","C","2019_04_MN0240200_NIBRS",,0
2019,8180302,27087,5,2019,"U",,"Y","G","C","2019_05_MN0240200_NIBRS",,0
2019,8187964,27087,6,2019,"U",,"Y","G","C","2019_06_MN0240200_NIBRS",,0
2019,8195626,27087,7,2019,"U",,"Y","G","C","2019_07_MN0240200_NIBRS",,0
2019,8203288,27087,8,2019,"U",,"Y","G","C","2019_08_MN0240200_NIBRS",,0
2019,8210950,27087,9,2019,"U",,"Y","G","C","2019_09_MN0240200_NIBRS",,0
2019,8218612,27087,10,2019,"U",,"Y","G","C","2019_10_MN0240200_NIBRS",,0
2019,8226274,27087,11,2019,"U",,"Y","G","C","2019_11_MN0240200_NIBRS",,0
2019,8233936,27087,12,2019,"U",,"Y","G","C","2019_12_MN0240200_NIBRS",,0
2019,8149543,25789,1,2019,"Z",,"Y","G","C","2019_01_MN0221000_NIBRS",37138000,0
2019,8157205,25789,2,2019,"Z",,"Y","G","C","2019_02_MN0221000_NIBRS",49497674,0
2019,8164867,25789,3,2019,"U",,"Y","G","C","2019_03_MN0221000_NIBRS",,0
2019,8172529,25789,4,2019,"Z",,"Y","G","C","2019_04_MN0221000_NIBRS",49497675,0
2019,8180191,25789,5,2019,"I",,"Y","G","C","2019_05_MN0221000_NIBRS",49497673,0
2019,8187853,25789,6,2019,"Z",,"Y","G","C","2019_06_MN0221000_NIBRS",49491078,0
2019,8195515,25789,7,2019,"Z",,"Y","G","C","2019_07_MN0221000_NIBRS",50829283,0
2019,8203177,25789,8,2019,"Z",,"Y","G","C","2019_08_MN0221000_NIBRS",55169367,0
2019,8210839,25789,9,2019,"I",,"Y","G","C","2019_09_MN0221000_NIBRS",57322398,0
2019,8218501,25789,10,2019,"Z",,"Y","G","C","2019_10_MN0221000_NIBRS",59622372,0
2019,8226163,25789,11,2019,"Z",,"Y","G","C","2019_11_MN0221000_NIBRS",60881782,0
2019,8233825,25789,12,2019,"Z",,"Y","G","C","2019_12_MN0221000_NIBRS",63193033,0
2019,9129666,25754,2,2019,"I",18-JUL-19,"Y","F","C","2019_02_MN0110800_NIBRS",49497349,0
2019,9128470,25754,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0110800_NIBRS",49490779,0
2019,9128472,25754,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0110800_NIBRS",49492520,0
2019,9129667,25754,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0110800_NIBRS",49497357,0
2019,9128471,25754,6,2019,"I",18-JUL-19,"Y","F","C","2019_06_MN0110800_NIBRS",58892226,0
2019,9218489,25754,7,2019,"I",26-AUG-19,"Y","X","C","2019_07_MN0110800_NIBRS",51189809,0
2019,9224981,25754,8,2019,"I",28-AUG-19,"Y","X","C","2019_08_MN0110800_NIBRS",55732718,0
2019,10338450,25754,9,2019,"I",11-OCT-19,"Y","X","C","2019_09_MN0110800_NIBRS",57624264,0
2019,10537779,25754,10,2019,"I",23-OCT-19,"Y","X","C","2019_10_MN0110800_NIBRS",58903109,0
2019,10685693,25754,11,2019,"I",13-NOV-19,"Y","X","C","2019_11_MN0110800_NIBRS",60850112,0
2019,10844593,25754,12,2019,"I",11-DEC-19,"Y","X","C","2019_12_MN0110800_NIBRS",62682912,0
2019,8149667,27374,1,2019,"I",,"Y","G","C","2019_01_MN0030400_NIBRS",37287926,0
2019,8157329,27374,2,2019,"I",,"Y","G","C","2019_02_MN0030400_NIBRS",49502370,0
2019,8164991,27374,3,2019,"I",,"Y","G","C","2019_03_MN0030400_NIBRS",49493667,0
2019,8172653,27374,4,2019,"I",,"Y","G","C","2019_04_MN0030400_NIBRS",49502377,0
2019,8180315,27374,5,2019,"I",,"Y","G","C","2019_05_MN0030400_NIBRS",49498773,0
2019,8187977,27374,6,2019,"Z",,"Y","G","C","2019_06_MN0030400_NIBRS",49498777,0
2019,8195639,27374,7,2019,"I",,"Y","G","C","2019_07_MN0030400_NIBRS",50846011,0
2019,8203301,27374,8,2019,"I",,"Y","G","C","2019_08_MN0030400_NIBRS",55169436,0
2019,8210963,27374,9,2019,"U",,"Y","G","C","2019_09_MN0030400_NIBRS",,0
2019,8218625,27374,10,2019,"I",,"Y","G","C","2019_10_MN0030400_NIBRS",57691512,0
2019,8226287,27374,11,2019,"I",,"Y","G","C","2019_11_MN0030400_NIBRS",62351627,0
2019,8233949,27374,12,2019,"U",,"Y","G","C","2019_12_MN0030400_NIBRS",,0
2019,8149670,27377,1,2019,"I",,"Y","G","C","2019_01_MN0410400_NIBRS",37274929,0
2019,8157332,27377,2,2019,"I",,"Y","G","C","2019_02_MN0410400_NIBRS",37269777,0
2019,8164994,27377,3,2019,"I",,"Y","G","C","2019_03_MN0410400_NIBRS",51367877,0
2019,8172656,27377,4,2019,"U",,"Y","G","C","2019_04_MN0410400_NIBRS",,0
2019,8180318,27377,5,2019,"I",,"Y","G","C","2019_05_MN0410400_NIBRS",51367880,0
2019,8187980,27377,6,2019,"I",,"Y","G","C","2019_06_MN0410400_NIBRS",50846925,0
2019,8195642,27377,7,2019,"Z",,"Y","G","C","2019_07_MN0410400_NIBRS",58226821,0
2019,8203304,27377,8,2019,"Z",,"Y","G","C","2019_08_MN0410400_NIBRS",58226823,0
2019,8210966,27377,9,2019,"Z",,"Y","G","C","2019_09_MN0410400_NIBRS",58237060,0
2019,8218628,27377,10,2019,"Z",,"Y","G","C","2019_10_MN0410400_NIBRS",60526620,0
2019,8226290,27377,11,2019,"Z",,"Y","G","C","2019_11_MN0410400_NIBRS",64604004,0
2019,8233952,27377,12,2019,"Z",,"Y","G","C","2019_12_MN0410400_NIBRS",64604006,0
2019,8149640,26920,1,2019,"U",,"Y","G","C","2019_01_MN0460300_NIBRS",,0
2019,8157302,26920,2,2019,"I",,"Y","G","C","2019_02_MN0460300_NIBRS",49497614,0
2019,8164964,26920,3,2019,"I",,"Y","G","C","2019_03_MN0460300_NIBRS",49491012,0
2019,8172626,26920,4,2019,"I",,"Y","G","C","2019_04_MN0460300_NIBRS",51358413,0
2019,8180288,26920,5,2019,"I",,"Y","G","C","2019_05_MN0460300_NIBRS",49497620,0
2019,8187950,26920,6,2019,"I",,"Y","G","C","2019_06_MN0460300_NIBRS",50848821,0
2019,8195612,26920,7,2019,"I",,"Y","G","C","2019_07_MN0460300_NIBRS",51368138,0
2019,8203274,26920,8,2019,"I",,"Y","G","C","2019_08_MN0460300_NIBRS",51773186,0
2019,8210936,26920,9,2019,"I",,"Y","G","C","2019_09_MN0460300_NIBRS",57309302,0
2019,8218598,26920,10,2019,"I",,"Y","G","C","2019_10_MN0460300_NIBRS",60705516,0
2019,8226260,26920,11,2019,"U",,"Y","G","C","2019_11_MN0460300_NIBRS",,0
2019,8233922,26920,12,2019,"U",,"Y","G","C","2019_12_MN0460300_NIBRS",,0
2019,9196225,28415,2,2019,"U",24-AUG-19,"Y","X","C","2019_02_MN0170500_NIBRS",50859698,0
2019,9129705,28415,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0170500_NIBRS",49502666,0
2019,9129703,28415,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0170500_NIBRS",49502663,0
2019,9129704,28415,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0170500_NIBRS",49502665,0
2019,9197839,28415,6,2019,"I",24-AUG-19,"Y","X","C","2019_06_MN0170500_NIBRS",51204604,0
2019,9233120,28415,7,2019,"I",28-AUG-19,"Y","X","C","2019_07_MN0170500_NIBRS",51204607,0
2019,10649083,28415,10,2019,"I",12-NOV-19,"Y","X","C","2019_10_MN0170500_NIBRS",59691682,0
2019,10819519,28415,11,2019,"Z",10-DEC-19,"Y","X","C","2019_11_MN0170500_NIBRS",61343774,0
2019,8149630,26898,1,2019,"U",,"Y","G","C","2019_01_MN0010200_NIBRS",,0
2019,8157292,26898,2,2019,"Z",,"Y","G","C","2019_02_MN0010200_NIBRS",59623045,0
2019,8164954,26898,3,2019,"Z",,"Y","G","C","2019_03_MN0010200_NIBRS",49502682,0
2019,8172616,26898,4,2019,"Z",,"Y","G","C","2019_04_MN0010200_NIBRS",49493857,0
2019,8180278,26898,5,2019,"Z",,"Y","G","C","2019_05_MN0010200_NIBRS",49502689,0
2019,8187940,26898,6,2019,"Z",,"Y","G","C","2019_06_MN0010200_NIBRS",49502694,0
2019,8195602,26898,7,2019,"Z",,"Y","G","C","2019_07_MN0010200_NIBRS",50825626,0
2019,8203264,26898,8,2019,"Z",,"Y","G","C","2019_08_MN0010200_NIBRS",51709277,0
2019,8210926,26898,9,2019,"Z",,"Y","G","C","2019_09_MN0010200_NIBRS",57266071,0
2019,8218588,26898,10,2019,"Z",,"Y","G","C","2019_10_MN0010200_NIBRS",59450585,0
2019,8226250,26898,11,2019,"Z",,"Y","G","C","2019_11_MN0010200_NIBRS",60963551,0
2019,8233912,26898,12,2019,"Z",,"Y","G","C","2019_12_MN0010200_NIBRS",62722775,0
2019,8149535,25735,1,2019,"I",,"Y","G","C","2019_01_MN0800400_NIBRS",49492716,0
2019,8157197,25735,2,2019,"U",,"Y","G","C","2019_02_MN0800400_NIBRS",,0
2019,8164859,25735,3,2019,"I",,"Y","G","C","2019_03_MN0800400_NIBRS",49497719,0
2019,8172521,25735,4,2019,"Z",,"Y","G","C","2019_04_MN0800400_NIBRS",59605614,0
2019,8180183,25735,5,2019,"I",,"Y","G","C","2019_05_MN0800400_NIBRS",49491169,0
2019,8187845,25735,6,2019,"Z",,"Y","G","C","2019_06_MN0800400_NIBRS",49497725,0
2019,8195507,25735,7,2019,"I",,"Y","G","C","2019_07_MN0800400_NIBRS",51367124,0
2019,8203169,25735,8,2019,"Z",,"Y","G","C","2019_08_MN0800400_NIBRS",55191098,0
2019,11785721,9112,4,2019,"U",16-MAR-20,"Y","X","C","2019_04_MN0020600_NIBRS",69159298,0
2019,11785727,9112,5,2019,"U",16-MAR-20,"Y","X","C","2019_05_MN0020600_NIBRS",69177250,0
2019,11785723,9112,6,2019,"U",16-MAR-20,"Y","X","C","2019_06_MN0020600_NIBRS",70930253,0
2019,11781444,9112,7,2019,"I",16-MAR-20,"Y","X","C","2019_07_MN0020600_NIBRS",69159284,0
2019,9223160,9112,8,2019,"I",27-AUG-19,"Y","X","C","2019_08_MN0020600_NIBRS",70371826,0
2019,9266652,9112,9,2019,"I",02-SEP-19,"Y","X","C","2019_09_MN0020600_NIBRS",71649794,0
2019,10287143,9112,10,2019,"I",02-OCT-19,"Y","X","C","2019_10_MN0020600_NIBRS",70929413,0
2019,10588816,9112,11,2019,"I",01-NOV-19,"Y","X","C","2019_11_MN0020600_NIBRS",70986379,0
2019,10773587,9112,12,2019,"I",02-DEC-19,"Y","X","C","2019_12_MN0020600_NIBRS",71649797,0
