"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,124403689,137891424
2019,124400123,137885232
2019,124403728,137891468
2019,124400127,137891476
2019,124403740,137891483
2019,124400135,137885248
2019,124400137,137885247
2019,124403746,137885254
2019,124397381,137891511
2019,124400176,137888096
2019,124400176,137888093
2019,124397419,137888111
2019,124397420,137888111
2019,124400214,137891578
2019,124400215,137891578
2019,124403821,137885335
2019,124403820,137885335
2019,124403829,137891595
2019,124403843,137888157
2019,124397483,137888164
2019,124403847,137885358
2019,124403847,137885359
2019,124397501,137885379
2019,124397507,137885387
2019,124397529,137888208
2019,124400313,137891656
2019,124397547,137888234
2019,124397558,137888238
2019,124403915,137891685
2019,124397571,137888256
2019,124397573,137885445
2019,124403964,137891727
2019,124403975,137891739
2019,124404027,137885535
2019,124400409,137891805
2019,124400416,137888333
2019,124400417,137891811
2019,124404040,137891822
2019,124404046,137891833
2019,124404076,137891856
2019,124404076,137885570
2019,124397705,137891868
2019,124404117,137888404
2019,124397735,137891901
2019,124397735,137891900
2019,124397735,137891902
2019,124397758,137885613
2019,124397757,137885613
2019,124400503,137891941
2019,124397768,137888437
2019,124400531,137885648
2019,124404195,137888448
2019,124404198,137885653
2019,124404400,137892204
2019,124404401,137892204
2019,124407986,137892244
2019,124404459,137892254
2019,134443230,148226497
2019,134443320,148226590
2019,134443321,148226589
2019,134443327,148226597
2019,125590631,139080206
2019,125590633,139080208
2019,125590636,139080210
2019,125590635,139080211
2019,125590639,139080215
2019,125590640,139080216
2019,125590643,139080220
2019,125590644,139080221
2019,125590652,139080227
2019,125590652,139080226
2019,125590653,139080229
2019,125590654,139080228
2019,125590658,139080233
2019,125590661,139080237
2019,125590677,139080248
2019,125590681,139080254
2019,125590682,139080253
2019,125590682,139080252
2019,125590690,139080264
2019,125590690,139080265
2019,125590694,139080270
2019,125590697,139080274
2019,125590697,139080273
2019,125590700,139080278
2019,125590703,139080281
2019,125590706,139080286
2019,125590706,139080285
2019,125590707,139080288
2019,125590707,139080287
2019,125590708,139080289
2019,125590708,139080290
2019,125590709,139080291
2019,125590710,139080292
2019,125590715,139080297
2019,125590716,139080298
2019,125590719,139080302
2019,125590727,139080312
2019,125590727,139080313
2019,125590734,139080323
2019,125590738,139080329
2019,125590738,139080328
2019,125590740,139080332
2019,125590742,139080334
2019,125590745,139080337
2019,125590787,139080384
2019,129409062,143292479
2019,126840626,140587299
2019,126840684,140587357
2019,126840688,140587360
2019,126840689,140587361
2019,126840689,140587362
2019,126840712,140587389
2019,126840713,140596174
2019,126840723,140596182
2019,126840883,140636208
2019,126840884,140636209
2019,126840769,140611186
2019,126840775,140611192
2019,126840776,140611193
2019,126840783,140611198
2019,126840816,140611225
2019,126840818,140611227
2019,126840819,140611228
2019,126840820,140611229
2019,126840821,140611230
2019,126840956,140636281
2019,126052931,139562135
2019,126052932,139562136
2019,126053118,139562332
2019,126053121,139562336
2019,126053292,139562502
2019,126053291,139562502
2019,126053451,139576233
2019,126053451,139576232
2019,126053409,139576191
2019,126053408,139576191
2019,126053418,139576200
2019,126053440,139576223
2019,126053440,139576224
2019,126053458,139576240
2019,129424861,143308506
2019,129424862,143308507
2019,128403938,142272546
2019,128404100,142272698
2019,128403946,142272554
2019,128403952,142272559
2019,128403980,142272586
2019,128403981,142272586
2019,128404182,142272774
2019,128403993,142272597
2019,128403993,142272598
2019,128403998,142272603
2019,128403999,142272604
