"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,130347720
2019,4,130352699
2019,4,130352749
2019,4,130352754
2019,4,130352759
2019,4,130356886
2019,4,130357052
2019,1,130353020
2019,1,130353021
2019,4,130353037
2019,4,130357118
2019,3,130357120
2019,4,130348343
2019,4,130354009
2019,4,130349768
2019,4,130354032
2019,4,130354061
2019,4,130354066
2019,4,130358087
2019,4,130358093
2019,4,130349935
2019,4,130358106
2019,4,138732045
2019,4,138732046
2019,1,142324254
2019,1,142324253
2019,1,142324252
2019,4,142408237
2019,4,142408241
2019,4,142408309
2019,4,142408353
2019,4,142408363
2019,4,142408370
2019,4,142408369
2019,4,142408388
2019,3,142408399
2019,4,142454865
2019,4,148996712
2019,4,148996713
2019,3,148996714
2019,2,146287093
2019,4,146287130
2019,4,146287177
2019,4,146287193
2019,4,144154116
2019,4,144153876
2019,4,144154020
2019,4,144154022
2019,4,144154025
2019,4,144281263
2019,4,144281286
2019,4,144281285
2019,4,144281316
2019,4,144281329
2019,4,144281333
2019,4,144281334
2019,4,144281340
2019,1,144281344
2019,4,144281347
2019,4,144281354
2019,4,144281357
2019,4,144281364
2019,4,144281365
2019,4,144281370
2019,4,144281373
2019,4,144281374
2019,4,144281377
2019,4,144281378
2019,4,144281379
2019,4,144281389
2019,4,144281390
2019,4,144281391
2019,4,144281396
2019,4,144281398
2019,4,144281410
2019,4,144281409
2019,4,144281418
2019,4,144281419
2019,4,144281432
2019,4,144281433
2019,4,144281443
2019,4,144281450
2019,4,144281461
2019,4,144281462
2019,4,144281472
2019,4,144281495
2019,4,144281500
2019,4,144281503
2019,4,144281512
2019,4,144281519
2019,4,144281523
2019,4,144281535
2019,4,144281542
2019,4,144281543
2019,4,144281544
2019,4,143521736
2019,4,143521750
2019,4,143521764
2019,4,143521849
2019,4,143521848
2019,4,143521908
2019,4,143521909
2019,4,143521916
2019,4,143521917
2019,4,143521947
2019,4,143521948
2019,4,143521977
2019,4,143521978
2019,4,143521986
2019,4,143522052
2019,4,143522053
2019,4,143522054
2019,3,143522223
2019,4,143522201
2019,3,143522225
2019,3,143522224
2019,4,143522226
2019,4,143522227
2019,4,143522228
2019,4,143522259
2019,4,143522258
2019,4,143522260
2019,4,143522261
2019,4,143522263
2019,4,143522262
2019,4,143522264
2019,4,143522265
2019,4,143522285
2019,4,143522307
2019,4,143522306
2019,4,143524095
2019,1,143522412
2019,1,143522413
2019,4,143524503
2019,4,143524523
2019,4,143523063
2019,4,143522909
2019,4,143533424
2019,4,143523087
2019,4,143524564
2019,1,143522513
2019,4,143522511
2019,4,143523555
2019,4,143523497
2019,3,143524594
2019,3,143524595
2019,4,143523551
2019,4,143523552
2019,4,143524600
2019,4,143524599
2019,4,143524601
2019,4,143524604
2019,1,143524606
2019,4,143524609
2019,4,143524610
2019,4,143524608
2019,4,143524612
2019,4,143524641
2019,1,143524638
2019,1,143524639
2019,4,143524642
2019,3,143524645
2019,3,143524644
2019,4,143524678
2019,4,143524681
2019,4,143524687
2019,4,143524689
2019,4,143524724
2019,3,143524727
2019,3,143524728
2019,4,143533530
2019,4,143524880
2019,4,143533988
2019,4,143525165
2019,4,143525167
2019,4,143525174
2019,4,143533900
2019,4,143533425
2019,4,143533263
2019,4,143533485
2019,4,143533330
2019,4,143533331
2019,4,143533337
2019,4,143533340
2019,4,143533341
2019,4,143533491
