"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,34312158,1,34302564
2019,34168145,1,34143594
2019,34312215,1,34302621
2019,34168247,1,34143696
2019,34312222,1,34302628
2019,34312223,1,34302629
2019,34216731,1,34192096
2019,34216746,1,34192111
2019,34217966,1,34193315
2019,34168074,1,34143523
2019,34168075,1,34143524
2019,34168076,1,34143525
2019,34168391,1,34143840
2019,34168177,1,34143626
2019,34217795,1,34193144
2019,34239483,1,34209858
2019,34171182,1,34146582
2019,36101825,1,36247237
2019,36101826,1,36247238
2019,34216819,1,34192184
2019,34216826,1,34192191
2019,34216833,1,34192198
2019,34217762,8,34193111
2019,34167603,1,34143050
2019,34139508,1,34114934
2019,34139515,1,34114941
2019,34167675,1,34143122
2019,34167725,1,34143172
2019,34167727,1,34143174
2019,36799402,1,37029228
2019,36799400,1,37029226
2019,36799401,1,37029227
2019,34239463,1,34209838
2019,34239465,1,34209840
2019,36799435,1,37029261
2019,35765847,1,35861264
2019,34167662,1,34143109
2019,35967083,1,36099999
2019,34167668,1,34143115
2019,34167697,1,34143144
2019,34167737,1,34143184
2019,34167736,1,34143183
2019,34167743,1,34143190
2019,34167744,1,34143191
2019,34167745,1,34143192
2019,34167746,1,34143193
2019,34167749,1,34143196
2019,34167750,1,34143197
2019,34167751,1,34143198
2019,34167753,1,34143200
2019,35967082,1,36099998
2019,34167763,1,34143210
2019,34167765,1,34143212
2019,34167767,1,34143214
2019,34167797,6,34143244
2019,34167819,1,34143266
2019,34167857,1,34143304
2019,34167858,1,34143305
2019,34167879,1,34143326
2019,34167885,1,34143332
2019,34167886,1,34143333
2019,34167904,1,34143351
2019,34167906,1,34143353
2019,34167930,1,34143377
2019,34168027,1,34143476
2019,34168044,1,34143493
2019,34168058,1,34143507
2019,34168107,1,34143556
2019,34168108,1,34143557
2019,34168109,1,34143558
2019,34168114,1,34143563
2019,34168117,1,34143566
2019,34168118,1,34143567
2019,34168119,1,34143568
2019,34168120,1,34143569
2019,34168121,1,34143570
2019,34168123,1,34143572
2019,34168122,1,34143571
2019,34168152,1,34143601
2019,34168181,1,34143630
2019,34168183,1,34143632
2019,34168186,1,34143635
2019,34168230,1,34143679
2019,34168307,1,34143756
2019,34168308,1,34143757
2019,34168315,1,34143764
2019,34216739,1,34192104
2019,34168390,1,34143839
2019,34168394,1,34143843
2019,34168423,1,34143872
2019,34168424,1,34143873
2019,34168471,1,34143920
2019,34168476,1,34143925
2019,38116914,1,38202389
2019,34168555,1,34144004
2019,34168557,1,34144006
2019,34168563,1,34144012
2019,34168570,1,34144019
2019,34168576,1,34144025
2019,34168577,1,34144026
2019,34168580,1,34144029
2019,34168582,1,34144031
2019,34168581,1,34144030
2019,34168586,1,34144035
2019,34168587,1,34144036
2019,34168590,1,34144039
2019,34216736,1,34192101
2019,34216667,1,34192032
2019,34216668,1,34192033
2019,34216669,1,34192034
2019,34216747,7,34192112
