"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,116453432,3,3900,16-MAY-19,127342099
2019,116458454,10,,,127343730
2019,116453444,10,,,127343742
2019,121149885,7,2600,,133670183
2019,121149884,38,1,,133670182
2019,121150015,20,2450,,133670355
2019,118205024,63,250,,130326751
2019,118205150,30,750,,130326938
2019,118326957,38,25,,130496951
2019,118326966,10,,,130496968
2019,118327420,61,1000,,130512648
2019,118326970,3,1,,130496973
2019,118326971,16,2,,130496974
2019,118326972,20,23,,130496975
2019,118327430,61,1,,130512658
2019,118327431,61,1,,130512659
2019,116454559,42,1,,127330457
2019,116454581,10,,,127333731
2019,116444035,36,1,,127330500
2019,116454708,63,64,,127333871
2019,116449703,8,13,,127330520
2019,116444062,25,20,01-JUN-19,127337421
2019,116449708,25,20,,127330529
2019,116456472,17,3000,16-APR-19,127336125
2019,116460373,17,3000,,127336122
2019,116456472,63,180,16-APR-19,127336127
2019,116451594,12,1,,127339795
2019,116460373,25,200,,127332131
2019,116456472,25,200,16-APR-19,127336126
2019,116460373,63,180,,127332132
2019,116451603,38,450,,127339804
2019,116456504,63,3,,127332145
2019,116460390,63,3,20-JUN-19,127339849
2019,116460398,63,30,,127332156
2019,116460398,10,,,127336198
2019,116451689,63,50,,127336227
2019,116451695,6,300,,127332188
2019,116456541,2,150,,127336235
2019,116456550,4,150,,127336243
2019,116456554,36,26069,,127336246
2019,116456554,26,99,,127336247
2019,116456564,52,0,,127332201
2019,116460438,24,800,02-APR-19,127332207
2019,116460437,24,800,,127332206
2019,116456578,25,40,,127332211
2019,116456578,62,199,,127332210
2019,116456592,3,5000,,127336290
2019,116451737,10,,,127339966
2019,116451737,11,10,,127339967
2019,116451755,21,1,,127332229
2019,116460470,25,50,,127336314
2019,116451774,63,1,,127340014
2019,116451823,63,39,,127340075
2019,116451870,6,165,,127340140
2019,116460545,10,,,127340187
2019,116451911,3,99,12-JUN-19,127342332
2019,116451913,3,3000,,127342337
2019,116451953,57,120,,127340242
2019,116451955,16,57,,127340247
2019,116451955,6,5,,127340248
2019,116460583,6,105,21-FEB-19,127342381
2019,116456707,19,419,,127336437
2019,116456707,6,105,,127336438
2019,116451971,21,625,,127336443
2019,116456733,6,445,,127336466
2019,116451990,6,445,08-MAR-19,127340281
2019,116460606,3,1,06-MAR-19,127340287
2019,116456777,3,500,,127336521
2019,116452060,63,100,,127340358
2019,116452068,63,429,,127336588
2019,116456834,34,20,,127336589
2019,116452080,20,15,,127340378
2019,116452097,20,223,,127340398
2019,116452099,7,500,,127336629
2019,116452099,25,36,,127336632
2019,116452099,6,20,,127336633
2019,116452099,63,225,,127342501
2019,116452099,20,2000,,127340400
2019,116452099,47,0,,127342499
2019,116452099,36,15,,127336634
2019,116452099,17,100,,127336631
2019,116452099,60,149,,127336630
2019,116452107,63,1,,127340410
2019,116456877,27,150,,127336651
2019,116452121,63,1,,127336672
2019,116452158,63,1,,127340470
2019,116452173,8,23,,127340480
2019,116456949,10,,,127340489
2019,116456977,63,59,12-MAY-19,127340531
2019,116452204,63,59,,127340529
2019,116452277,3,1,,127336859
2019,116457051,8,49,,127340641
2019,116452294,21,1012,,127340646
2019,116457100,63,30,,127336943
2019,116452355,16,12,,127340724
2019,116452355,6,32,,127336957
2019,116452371,38,400,,127336963
2019,116452383,63,1,,127340758
2019,116452402,63,1,,127340777
2019,116457138,47,0,,127340783
2019,116452408,21,1740,,127336988
2019,116452420,10,,,127340801
2019,116457158,27,165,,127337012
2019,116460813,50,62,,127340835
2019,116460817,36,150,,127340839
2019,116460856,19,94,,127342714
2019,116457237,19,94,15-APR-19,127337111
2019,116452531,6,173,,127337114
2019,116452535,24,10322,,127340937
2019,116452541,24,300,,127340944
2019,116460889,6,120,,127342751
2019,116457319,16,167,14-JUN-19,127342767
2019,116457318,16,167,,127337215
2019,116457318,6,50,,127337218
2019,116457319,6,50,14-JUN-19,127342768
2019,116457323,63,100,,127337224
2019,116452609,3,30400,,127341042
2019,116457341,3,30400,29-MAR-19,127341043
2019,116460915,6,226,11-MAY-19,127337254
2019,116452611,6,226,,127342780
2019,116452616,63,1,,127341052
2019,116452629,10,,,127337287
2019,116452634,26,50,27-APR-19,127341071
2019,116460935,26,50,,127342801
2019,116457380,63,50,,127342804
2019,116460945,10,,,127342814
2019,116452653,52,0,,127342818
2019,116457410,10,,,127341113
2019,116460983,20,755,,127342853
2019,116452700,9,0,,127341174
2019,116452700,25,50,,127341172
2019,116452700,51,0,,127341173
2019,116452720,3,1,,127341196
2019,116457502,3,1,,127341203
2019,116457517,67,1,,127347453
2019,116452753,20,95,,127341235
2019,116457559,47,0,,127347504
2019,116461042,19,93,31-MAR-19,127342912
2019,116461040,19,93,,127341242
2019,116452804,63,1800,02-MAY-19,127341300
2019,116452803,63,1801,,127341299
2019,116452807,33,1,,127341313
2019,116461091,63,500,,127342971
2019,116457653,63,30,,127347609
2019,116452825,10,,,127342998
