"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,128860602,5
2019,128860714,5
2019,129636941,4
2019,129653833,5
2019,129653839,4
2019,129654097,4
2019,128860593,4
2019,128860592,4
2019,128860594,5
2019,128860628,4
2019,128860670,5
2019,128860671,5
2019,128860690,4
2019,128872908,4
2019,128872909,4
2019,128872911,4
2019,128872919,5
2019,128872923,4
2019,128872925,4
2019,128872941,4
2019,128872982,6
2019,128872987,4
2019,128872988,4
2019,128872989,5
2019,128873043,4
2019,128873067,5
2019,128873074,5
2019,128873092,5
2019,128873177,4
2019,128873178,4
2019,129113079,5
2019,129113078,5
2019,129151421,5
2019,129653922,5
2019,129653923,5
2019,129636158,5
2019,129683543,5
2019,129636856,5
2019,130278798,5
2019,130278802,5
2019,130278803,4
2019,130278810,4
2019,130278812,5
2019,130278811,5
2019,130278815,6
2019,130278816,5
2019,130278820,4
2019,129210545,5
2019,129210544,4
2019,129212159,4
2019,129212160,4
2019,129212874,5
2019,129251733,5
2019,128666200,5
2019,128592967,4
2019,128597740,5
2019,128665817,5
2019,128666348,5
2019,128597734,4
2019,128091799,5
2019,128860551,5
2019,128860552,5
2019,129263940,5
2019,129112977,5
2019,129112985,5
2019,129182304,4
2019,129263810,5
2019,129263623,3
2019,129377301,6
2019,129182613,5
2019,129252776,5
2019,129251314,4
2019,129377302,4
2019,129263202,4
2019,129264054,5
2019,129264056,5
2019,129264053,5
2019,129264055,5
2019,129264057,5
2019,129263811,4
2019,129263812,4
2019,129273053,4
2019,129448375,5
2019,129416752,4
2019,129377478,5
2019,129417069,4
2019,129448563,5
2019,129448562,5
2019,129448564,5
2019,128339380,4
2019,128339395,5
2019,129704180,4
2019,128339308,6
2019,128339308,2
2019,128339316,5
2019,128113276,5
2019,129182286,5
2019,129182285,5
2019,129182284,5
2019,129182350,4
2019,129182351,4
2019,129182600,5
2019,129182598,5
2019,129182601,5
2019,129182599,5
2019,129182617,5
2019,129182628,5
2019,131910619,4
2019,131910629,4
2019,131910676,5
2019,131910690,4
2019,131910692,5
2019,131910705,5
2019,131910713,5
2019,131910718,5
2019,131910740,5
2019,131910930,5
2019,129249583,5
2019,129249585,4
2019,129250475,4
2019,128339434,5
2019,128091381,4
2019,128341604,5
2019,128539954,4
2019,128539956,5
2019,128113315,4
2019,129577961,5
2019,129577960,5
2019,128872902,4
2019,128872927,5
2019,128872943,4
2019,128872992,5
2019,128873005,4
2019,128873056,4
2019,128873057,4
2019,128873059,4
2019,128873086,5
2019,128873087,4
2019,128873088,4
