yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
91192022,9119,2022,MN0021300,MN0021300,,N,N,,I,RAMSEY,RAMSEY PD ANOKA,Ramsey,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,28562,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,21,0,21,5,3,8,0.9,1.0,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91212022,9121,2022,MN0021500,MN0021500,,N,N,,I,ST. FRANCIS,ST FRANCIS PD,St. Francis,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,8502,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,2,3,1.3,1.5,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91222022,9122,2022,MN0030000,MN0030000,,N,N,,I,BECKER,BECKER CO SO DETROIT LAKES,Becker,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,22816,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,22,28,50,2,18,20,1.1,3.1,2016-06-01,2017-02-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,N,BECKER,Not Specified,Y,Y,Y
91232022,9123,2022,MN0030100,MN0030100,,N,N,,I,DETROIT LAKES,DETROIT LAKES PD,Detroit Lakes,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,9771,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,1,2,3,1.7,1.9,2016-06-01,2017-02-01,2018-01-01,2018-01-01,2018-01-01,2018-01-01,N,BECKER,Not Specified,Y,Y,Y
91242022,9124,2022,MN0040000,MN0040000,,N,N,,I,BELTRAMI,BELTRAMI CO SO BEMIDJI,Beltrami,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,30457,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,26,30,56,4,21,25,1.0,2.7,2016-06-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,BELTRAMI,Not Specified,Y,Y,Y
91252022,9125,2022,MN0040100,MN0040100,,N,N,,I,BEMIDJI,BEMIDJI PD,Bemidji,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,15317,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,1,31,4,3,7,2.2,2.5,2016-06-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,BELTRAMI,Not Specified,Y,Y,Y
91262022,9126,2022,MN0040200,MN0040200,,N,N,,I,BLACKDUCK,BLACKDUCK PD,Blackduck,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,829,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,0,0,1.2,1.2,2016-06-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,N,BELTRAMI,Not Specified,Y,Y,Y
91272022,9127,2022,MN0050000,MN0050000,,N,N,,I,BENTON,BENTON CO SO FOLEY,Benton,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,13745,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,24,18,42,1,27,28,1.8,5.1,2016-06-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,N,BENTON,"St. Cloud, MN",Y,Y,Y
91282022,9128,2022,MN0050200,MN0050200,,N,N,,I,SAUK RAPIDS,SAUK RAPIDS PD,Sauk Rapids,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,13860,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,15,0,15,3,1,4,1.3,1.4,2016-06-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,N,BENTON,"St. Cloud, MN",Y,Y,Y
91292022,9129,2022,MN0060000,MN0060000,,N,N,,I,BIG STONE,BIG STONE,Big Stone,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,5151,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,0,6,0,2,2,1.2,1.6,2016-06-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,N,BIG STONE,Not Specified,Y,Y,Y
91302022,9130,2022,MN0060100,MN0060100,MN0060000,N,N,,I,ORTONVILLE,ORTONVILLE,Ortonville,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,2011,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2016-06-01,2020-06-01,2020-06-01,2020-06-01,2020-06-01,2020-06-01,Y,BIG STONE,Not Specified,N,Y,N
91312022,9131,2022,MN0070000,MN0070000,,N,N,,I,BLUE EARTH,BLUE EARTH CO SO MANKATO,Blue Earth,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,15296,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,31,20,51,2,18,20,2.2,4.6,2016-06-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,N,BLUE EARTH,"Mankato, MN",Y,Y,Y
91322022,9132,2022,MN0070100,MN0070100,,N,N,,I,MANKATO,MANKATO PD,Mankato,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,44925,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,1,44,11,8,19,1.2,1.4,2016-06-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,2018-04-01,N,BLUE EARTH,"Mankato, MN",Y,Y,Y
