"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91302020,9130,2020,"MN0060100","MN0060100","","N","N",,"I","ORTONVILLE","ORTONVILLE","Ortonville","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1767,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-JUN-16,01-JUN-20,01-JUN-20,01-JUN-20,01-JUN-20,01-JUN-20,"N","BIG STONE","Non-MSA","Y","Y","Y"
91312020,9131,2020,"MN0070000","MN0070000","","N","N",,"I","BLUE EARTH","BLUE EARTH CO SO MANKATO","Blue Earth","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",15502,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",32,27,59,3,16,19,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91322020,9132,2020,"MN0070100","MN0070100","","N","N",,"I","MANKATO","MANKATO PD","Mankato","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",43276,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",45,1,46,11,7,18,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91332020,9133,2020,"MN0070200","MN0070200","","N","N",,"I","MAPLETON","MAPLETON PD","Mapleton","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2189,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91342020,9134,2020,"MN0070400","MN0070400","","N","N",,"I","EAGLE LAKE","EAGLE LAKE PD","Eagle Lake","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3172,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-JUN-18,01-JUN-18,01-JUN-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91352020,9135,2020,"MN0070500","MN0070500","","N","N",,"I","LAKE CRYSTAL","LAKE CRYSTAL PD","Lake Crystal","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",2482,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JUN-16,01-APR-18,01-APR-18,01-APR-18,01-APR-18,01-APR-18,"N","BLUE EARTH","Mankato, MN","Y","Y","Y"
91362020,9136,2020,"MN0080000","MN0080000","","N","N",,"I","BROWN","BROWN CO SO NEW ULM","Brown","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",5989,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",9,7,16,1,17,18,0,0,01-JUN-16,01-APR-19,01-APR-19,01-JUN-19,01-AUG-19,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
91372020,9137,2020,"MN0080100","MN0080100","","N","N",,"I","NEW ULM","NEW ULM PD","New Ulm","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",13181,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,0,20,2,0,2,0,0,01-JUN-16,01-APR-19,01-APR-19,01-JUN-19,01-AUG-19,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
91382020,9138,2020,"MN0080200","MN0080200","","N","N",,"I","SLEEPY EYE","SLEEPY EYE PD","Sleepy Eye","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",3331,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,1,0,1,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
91392020,9139,2020,"MN0080300","MN0080300","","N","N",,"I","SPRINGFIELD","SPRINGFIELD PD","Springfield","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",1989,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,2,0,2,0,0,01-JUN-16,01-APR-19,01-APR-19,01-JUN-19,01-AUG-19,01-JUN-19,"N","BROWN","Non-MSA","Y","Y","Y"
