data_year,criminal_act_id,offense_id
2021,8,164288975
2021,9,166814181
2021,9,166814183
2021,9,164259653
2021,6,162952342
2021,6,164277074
2021,6,164277075
2021,6,165613628
2021,6,165613629
2021,6,165187455
2021,14,169593840
2021,6,169854502
2021,6,164320722
2021,9,168977755
2021,9,179594007
2021,9,164320723
2021,6,164259656
2021,9,168930491
2021,6,170603495
2021,9,168240635
2021,9,164326967
2021,9,164584591
2021,6,165187456
2021,6,165226849
2021,6,170508534
2021,6,163213743
2021,8,163213742
2021,6,165187457
2021,6,172624745
2021,6,164953098
2021,6,165187459
2021,6,165212995
2021,9,164328124
2021,6,164584527
2021,6,164584528
2021,6,165212996
2021,6,164321035
2021,5,165620953
2021,9,174494288
2021,9,180409093
2021,9,165138372
2021,6,165138373
2021,9,175688941
2021,6,175688942
2021,9,166391906
2021,6,165055049
2021,6,165055050
2021,9,170541805
2021,9,165612749
2021,9,165187772
2021,9,165599312
2021,8,170541813
2021,6,165612750
2021,9,166379292
2021,9,165722027
2021,9,165925237
2021,9,166379391
2021,9,166379293
2021,6,167232169
2021,6,167232170
2021,6,167320149
2021,9,166430564
2021,6,164276199
2021,6,164206339
2021,8,168664087
2021,9,168356548
2021,9,175688943
2021,9,166379393
2021,6,168977756
2021,6,168977757
2021,6,168977758
2021,6,166391907
2021,6,179214220
2021,9,166287768
2021,6,180409097
2021,6,180409098
2021,6,180409099
2021,9,170541831
2021,9,177256006
2021,6,171451376
2021,6,171451377
2021,9,170260626
2021,6,175688944
2021,6,166482350
2021,6,166482351
2021,9,171451378
2021,9,171451379
2021,6,166534764
2021,6,166542902
2021,9,168356579
2021,6,180409103
2021,6,180409104
2021,5,168357059
2021,9,166673090
2021,6,166815591
2021,9,173571235
2021,6,180409108
2021,6,180409109
2021,3,173571236
2021,6,166673093
2021,9,166673094
2021,6,164206340
2021,6,166673095
2021,6,165662789
2021,6,168356587
2021,5,168067069
2021,6,164275969
2021,8,166813681
2021,6,179214250
2021,6,179214251
2021,6,175688945
2021,6,175688946
2021,9,170541837
2021,9,170392362
2021,6,164206349
2021,6,165713751
2021,6,165713752
2021,6,170508551
2021,6,164208748
2021,6,167739621
2021,6,167739622
2021,6,164208749
2021,6,165597705
2021,8,169429457
2021,6,164275911
2021,2,164369526
2021,6,165206411
2021,6,164370418
2021,6,176547130
2021,6,176547131
2021,9,170914391
2021,9,170541843
2021,5,168067131
2021,5,168067152
2021,5,168067172
2021,5,168067192
2021,9,175688947
2021,5,168357069
2021,9,171623454
2021,5,168586067
2021,6,164370419
2021,6,164354937
2021,9,179214264
2021,6,166183585
2021,6,168467981
2021,8,169448991
2021,9,167990215
2021,9,168043410
2021,9,173571237
2021,9,173571238
2021,6,170541850
2021,6,170541851
2021,6,168240999
2021,6,171451881
2021,6,171451393
2021,6,175396823
2021,6,170508565
2021,7,170508574
2021,6,166431245
2021,6,168978540
2021,6,168978541
2021,6,166431247
2021,6,175404163
2021,6,165897040
2021,9,173571239
2021,5,168490215
2021,6,170541858
2021,6,170541859
2021,6,169415575
2021,6,170177970
2021,6,170177971
2021,9,168751902
2021,6,175396824
2021,6,171451404
2021,6,171451405
2021,6,171451407
2021,6,171451408
2021,6,168825803
2021,8,168930949
2021,6,173571240
2021,9,179214265
2021,3,174495296
2021,9,173571241
2021,9,173571242
2021,6,175396825
2021,8,164731350
2021,9,169413141
2021,9,169435118
2021,3,179214266
2021,9,169427689
2021,9,175916448
2021,6,179214285
2021,6,179214286
2021,6,164730775
2021,14,164730776
2021,1,165054260
2021,9,171451432
2021,6,169852449
2021,9,173571248
2021,6,169852451
2021,6,170097472
2021,6,164953999
2021,9,170260630
2021,9,174494339
2021,6,173571249
2021,6,173571250
2021,9,170392365
2021,9,171451888
2021,9,171451889
2021,6,166285558
2021,6,170508596
2021,6,168242334
2021,9,171451891
2021,6,170455400
2021,6,170455401
2021,6,180409113
2021,6,180409114
2021,9,171451447
2021,9,171451895
2021,9,170543127
2021,6,171451896
2021,6,171451897
2021,6,168242335
2021,6,165207577
2021,6,165207578
2021,6,166209750
2021,6,165187740
2021,6,178317848
2021,6,178317849
2021,8,175688949
2021,6,170658592
2021,6,170658593
2021,9,175688950
2021,6,165206590
2021,6,171008067
2021,6,171008068
2021,6,179214377
2021,6,179214378
2021,9,172092451
2021,6,170508602
2021,6,175688951
2021,6,175688952
2021,7,166622335
2021,9,175688953
2021,9,173571253
2021,6,167322524
2021,9,175252225
2021,9,172092454
2021,6,166481540
2021,9,176547151
2021,9,175688954
2021,6,166814531
2021,6,165618745
2021,6,166453845
2021,6,174540348
2021,9,171623587
2021,9,174072004
2021,9,179214415
2021,6,174806817
2021,9,175688957
2021,6,175396826
2021,8,170508604
2021,9,180084780
2021,6,170508608
2021,6,173571283
2021,3,174495297
2021,6,175688958
2021,6,175688959
2021,6,173571288
2021,6,173571289
2021,6,173571293
2021,6,173571294
2021,6,170508612
2021,7,170391983
2021,6,173076726
2021,6,173571295
2021,9,173660199
2021,6,173660050
2021,6,173660051
2021,9,173555458
2021,9,179214444
2021,9,174494426
2021,6,178291842
2021,9,174494446
2021,9,175688961
2021,9,175915628
2021,9,175688962
2021,6,166184483
2021,9,174494465
2021,1,174138196
2021,9,173660052
2021,9,175688965
2021,9,174061759
2021,9,175915644
2021,6,175688966
2021,6,175688967
2021,9,174495302
2021,6,174495303
2021,6,166184484
2021,6,165971747
2021,6,174495304
2021,6,174495305
