data_year,victim_id,injury_id
2021,152415514,4
2021,154667344,5
2021,154667346,4
2021,152415527,4
2021,152978188,5
2021,154101430,5
2021,154101433,4
2021,154101434,4
2021,154490116,4
2021,154490117,5
2021,154667355,5
2021,160423571,4
2021,160423572,4
2021,155567246,4
2021,155567252,4
2021,155567253,4
2021,156744859,5
2021,155567288,1
2021,155994919,4
2021,155994928,5
2021,155994929,5
2021,156744866,4
2021,156744867,4
2021,156744868,4
2021,156744871,4
2021,156744872,4
2021,152978189,5
2021,156135137,5
2021,156744878,4
2021,157265474,5
2021,157265475,5
2021,156744880,4
2021,157265477,4
2021,153426540,4
2021,158344449,5
2021,158344458,5
2021,158344461,5
2021,153396872,5
2021,158344471,4
2021,158798317,5
2021,151764168,5
2021,158798318,5
2021,158798319,5
2021,163125458,5
2021,158712557,4
2021,158799966,4
2021,158799967,5
2021,158799968,4
2021,158799969,4
2021,159871156,5
2021,164105410,4
2021,161020278,4
2021,163927541,4
2021,163927542,4
2021,163927543,4
2021,161020345,5
2021,161408174,4
2021,161408178,4
2021,146516640,4
2021,145772121,5
2021,147446761,5
2021,145996103,5
2021,152197196,5
2021,146952441,5
2021,146952442,5
2021,155226961,4
2021,152196411,5
2021,155226963,4
2021,148949238,4
2021,154401208,5
2021,154401209,5
2021,152196412,5
2021,148949240,4
2021,148949241,5
2021,152196647,5
2021,155186283,5
2021,152220398,5
2021,150021840,5
2021,150017325,4
2021,150197858,5
2021,150197897,4
2021,152285015,4
2021,151250830,5
2021,151250837,4
2021,151250838,4
2021,151673766,5
2021,155567292,5
2021,156276976,4
2021,152415763,4
2021,164657978,4
2021,155567295,4
2021,153643580,4
2021,155567298,5
2021,155567299,5
2021,155567300,5
2021,154490304,4
2021,155228183,4
2021,155994934,4
2021,155994935,5
2021,156744889,5
2021,157807739,4
2021,157807740,4
2021,157807741,5
2021,157481106,5
2021,157807742,5
2021,159871177,4
2021,159871178,4
2021,160216053,5
2021,160423831,5
2021,160423834,5
2021,161020446,4
2021,155228184,4
2021,152413328,5
2021,145846603,5
2021,155228204,4
2021,146655444,5
2021,148818754,4
2021,146655445,5
2021,146655446,5
2021,146953401,5
2021,153426746,4
2021,147190305,5
2021,163125459,5
2021,153398404,4
2021,147445326,8
2021,153396873,5
2021,147481058,4
2021,147745168,5
2021,149947386,4
2021,149947387,4
2021,149947388,4
2021,147746438,5
2021,147746439,5
2021,154451019,5
2021,155228702,4
2021,147958915,4
2021,149072439,5
2021,155228704,4
2021,147856142,5
2021,147860267,5
2021,147860268,4
2021,153466255,5
2021,148944892,4
2021,148818291,4
2021,155228705,4
2021,153842482,5
2021,150004447,5
2021,150004448,4
2021,149115246,5
2021,149115249,4
2021,150004451,4
2021,151250839,4
2021,150007483,8
2021,152335814,4
2021,155234369,4
2021,150008870,4
2021,150100486,4
2021,152415121,4
2021,150125769,5
2021,150126007,4
2021,150126008,5
2021,152335815,5
2021,152335816,4
2021,150241744,5
2021,150234542,4
2021,150299752,4
2021,155234370,4
2021,153750582,5
2021,150954928,4
2021,150929843,4
2021,152335817,4
2021,150929852,4
2021,150929855,5
2021,151471121,5
2021,150963652,4
2021,153790452,5
2021,151249192,5
2021,151344156,4
2021,151344157,4
2021,153790453,5
2021,155234371,5
2021,155309533,4
2021,151957968,5
2021,151467025,5
2021,151722144,5
2021,151722145,5
2021,152335818,4
2021,152335818,8
2021,151957715,4
2021,151957716,4
2021,151722146,5
2021,155309534,4
2021,155917132,5
2021,163125463,4
2021,153066316,4
2021,151956959,4
2021,151955795,4
2021,160306977,5
2021,156072724,4
2021,154818782,4
2021,152225286,5
2021,152225287,4
2021,152252886,5
2021,156183272,4
2021,153070255,5
2021,152252890,4
2021,152256012,5
2021,152256013,5
2021,156183273,4
2021,156183274,4
2021,155234376,4
2021,155234377,4
2021,154650773,4
2021,154665739,4
2021,152392541,5
2021,164037989,5
2021,153992572,4
2021,152555347,4
2021,157190087,5
2021,155919320,5
2021,155919321,5
2021,155165389,8
2021,154322865,4
2021,154322866,4
2021,152563620,4
2021,155589075,4
2021,155234379,4
2021,153842220,5
